OrderLineID,OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,Discount,LineTotal
OL-00001,ORD-10001,CUST-0001,PROD-017,2024-05-26,1,242.78,0,242.78
OL-00002,ORD-10001,CUST-0001,PROD-033,2024-05-26,1,70.03,0.05,66.53
OL-00003,ORD-10001,CUST-0001,PROD-023,2024-05-26,3,88.43,0.1,238.76
OL-00004,ORD-10002,CUST-0001,PROD-030,2025-06-22,3,33.74,0,101.22
OL-00005,ORD-10003,CUST-0001,PROD-023,2025-07-27,3,88.43,0.15,225.5
OL-00006,ORD-10003,CUST-0001,PROD-020,2025-07-27,5,37.73,0.15,160.35
OL-00007,ORD-10004,CUST-0002,PROD-034,2024-02-08,5,79.8,0.1,359.1
OL-00008,ORD-10004,CUST-0002,PROD-016,2024-02-08,2,189.62,0.2,303.39
OL-00009,ORD-10004,CUST-0002,PROD-007,2024-02-08,3,511.33,0.05,1457.29
OL-00010,ORD-10004,CUST-0002,PROD-021,2024-02-08,1,38.34,0,38.34
OL-00011,ORD-10005,CUST-0002,PROD-027,2025-02-22,2,52.67,0.05,100.07
OL-00012,ORD-10005,CUST-0002,PROD-006,2025-02-22,2,689.21,0.05,1309.5
OL-00013,ORD-10005,CUST-0002,PROD-004,2025-02-22,1,921.23,0,921.23
OL-00014,ORD-10005,CUST-0002,PROD-028,2025-02-22,5,65.64,0.05,311.79
OL-00015,ORD-10006,CUST-0002,PROD-017,2024-12-21,4,242.78,0.15,825.45
OL-00016,ORD-10006,CUST-0002,PROD-032,2024-12-21,4,129.73,0.2,415.14
OL-00017,ORD-10006,CUST-0002,PROD-028,2024-12-21,2,65.64,0,131.28
OL-00018,ORD-10006,CUST-0002,PROD-029,2024-12-21,5,32.8,0,164
OL-00019,ORD-10007,CUST-0002,PROD-009,2024-10-29,2,89.78,0.05,170.58
OL-00020,ORD-10007,CUST-0002,PROD-033,2024-10-29,4,70.03,0,280.12
OL-00021,ORD-10007,CUST-0002,PROD-034,2024-10-29,2,79.8,0.1,143.64
OL-00022,ORD-10007,CUST-0002,PROD-008,2024-10-29,3,342.59,0,1027.77
OL-00023,ORD-10008,CUST-0002,PROD-008,2024-12-28,1,342.59,0.1,308.33
OL-00024,ORD-10008,CUST-0002,PROD-024,2024-12-28,2,38.87,0,77.74
OL-00025,ORD-10008,CUST-0002,PROD-037,2024-12-28,3,23.39,0,70.17
OL-00026,ORD-10008,CUST-0002,PROD-019,2024-12-28,3,21.71,0,65.13
OL-00027,ORD-10009,CUST-0002,PROD-002,2024-07-23,3,505.32,0,1515.96
OL-00028,ORD-10009,CUST-0002,PROD-010,2024-07-23,2,121.48,0,242.96
OL-00029,ORD-10009,CUST-0002,PROD-027,2024-07-23,4,52.67,0,210.68
OL-00030,ORD-10009,CUST-0002,PROD-004,2024-07-23,1,921.23,0.1,829.11
OL-00031,ORD-10010,CUST-0002,PROD-003,2024-08-20,4,722.82,0.05,2746.72
OL-00032,ORD-10011,CUST-0002,PROD-037,2024-12-13,4,23.39,0.05,88.88
OL-00033,ORD-10011,CUST-0002,PROD-029,2024-12-13,5,32.8,0,164
OL-00034,ORD-10011,CUST-0002,PROD-022,2024-12-13,2,27.82,0.1,50.08
OL-00035,ORD-10012,CUST-0002,PROD-029,2025-01-14,5,32.8,0.15,139.4
OL-00036,ORD-10012,CUST-0002,PROD-010,2025-01-14,5,121.48,0.05,577.03
OL-00037,ORD-10012,CUST-0002,PROD-021,2025-01-14,4,38.34,0,153.36
OL-00038,ORD-10012,CUST-0002,PROD-006,2025-01-14,4,689.21,0,2756.84
OL-00039,ORD-10013,CUST-0002,PROD-029,2024-11-26,3,32.8,0.15,83.64
OL-00040,ORD-10014,CUST-0002,PROD-002,2024-04-09,3,505.32,0.1,1364.36
OL-00041,ORD-10014,CUST-0002,PROD-037,2024-04-09,1,23.39,0.15,19.88
OL-00042,ORD-10015,CUST-0002,PROD-013,2024-12-06,5,134.4,0.1,604.8
OL-00043,ORD-10016,CUST-0002,PROD-037,2024-12-15,5,23.39,0,116.95
OL-00044,ORD-10017,CUST-0002,PROD-033,2025-03-14,2,70.03,0,140.06
OL-00045,ORD-10017,CUST-0002,PROD-002,2025-03-14,3,505.32,0.2,1212.77
OL-00046,ORD-10017,CUST-0002,PROD-008,2025-03-14,2,342.59,0,685.18
OL-00047,ORD-10017,CUST-0002,PROD-035,2025-03-14,5,75.75,0.05,359.81
