Date,Country,Sales
2025-01-31,Germany,135349.9452838504
2025-02-28,Germany,128394.33962099109
2025-03-31,Germany,126053.10414312391
2025-04-30,Germany,155086.60079106624
2025-05-31,Germany,139514.14309592734
2025-06-30,Germany,135158.2640886174
2025-07-31,Germany,137824.8239011339
2025-08-31,Germany,143926.93660066725
2025-09-30,Germany,145681.27185063818
2025-10-31,Germany,153173.31855872588
2025-01-31,France,120699.02496276813
2025-02-28,France,126124.49751869457
2025-03-31,France,99116.70903510737
2025-04-30,France,128271.86313363838
2025-05-31,France,126250.7593664249
2025-06-30,France,131762.95195693072
2025-07-31,France,126078.02912142985
2025-08-31,France,154599.29210882203
2025-09-30,France,147322.5808022697
2025-10-31,France,155177.41053697947
2025-01-31,Italy,125197.9691991527
2025-02-28,Italy,140783.74079059533
2025-03-31,Italy,138736.7164545419
2025-04-30,Italy,134528.18874446955
2025-05-31,Italy,134644.4713314841
2025-06-30,Italy,144727.06801993094
2025-07-31,Italy,144956.14290259345
2025-08-31,Italy,152385.33265699455
2025-09-30,Italy,153798.17414712213
2025-10-31,Italy,161952.79130604898
2025-01-31,Spain,71976.48556942014
2025-02-28,Spain,84559.17789505457
2025-03-31,Spain,88076.49647682875
2025-04-30,Spain,96685.59156140233
2025-05-31,Spain,99126.15914903837
2025-06-30,Spain,114527.69773115178
2025-07-31,Spain,114891.85819732046
2025-08-31,Spain,112315.74709596644
2025-09-30,Spain,110815.39624770974
2025-10-31,Spain,131966.0058114449
2025-01-31,Netherlands,144785.54599568018
2025-02-28,Netherlands,151031.635898543
2025-03-31,Netherlands,169242.19289504658
2025-04-30,Netherlands,163842.2148294723
2025-05-31,Netherlands,160803.77627668652
2025-06-30,Netherlands,168143.3724003367
2025-07-31,Netherlands,161924.44435293463
2025-08-31,Netherlands,165923.81295712327
2025-09-30,Netherlands,164059.47471123675
2025-10-31,Netherlands,172888.74288890962
2025-01-31,Poland,94444.67520616882
2025-02-28,Poland,97541.13927738673
2025-03-31,Poland,102825.5220736877
2025-04-30,Poland,103745.81650931844
2025-05-31,Poland,112774.2761089525
2025-06-30,Poland,114523.97730069704
2025-07-31,Poland,116368.35929520732
2025-08-31,Poland,132151.14916403618
2025-09-30,Poland,125986.01850058368
2025-10-31,Poland,126913.65781067114
2025-01-31,Sweden,148600.04316405745
2025-02-28,Sweden,158594.24285971402
2025-03-31,Sweden,152227.30283822233
2025-04-30,Sweden,138872.0343064063
2025-05-31,Sweden,158743.20623620454
2025-06-30,Sweden,159261.60392228607
2025-07-31,Sweden,167435.02469277187
2025-08-31,Sweden,173363.75658313185
2025-09-30,Sweden,165019.27384360984
2025-10-31,Sweden,168287.8291172486
